pmid,sentence
30942649,"PTX group was younger (40.9 vs. 49.3 years, p = .03), had higher PTH levels (2578 vs. 1937 pg/ml, p = .01) and higher CaxP product (62 vs. 47.5, p = .02)."
30942649,"There were no percentage differences between groups of fractures, calciphylaxis and other complications due to SHPT."
30942649,"Patients who were not operated had a worst overall survival (5 y 62.2% vs. 96.7%, p = .04) with a HR for death of 8.08 (p = .07, PTX as a TVC)."
30942649,"Other variables associated with decreased survival included a history of previous myocardial infarction (HR: 10.4, p = .01) and age per additional year (HR: 1.09, p = .02)."
30942122,Multivariable linear regression revealed that HbA1c levels and history of diabetes were positively related with sCysC (all p < .05).
30942122,"Although stratification for above-mentioned glycemic status displayed no significant difference between AUC of sCysC (all p > .05), sCysC yielded the highest AUCs for detecting AKI in diabetic patients."
30942122,"Moreover, higher optimal cutoff values of sCysC to detect AKI were observed in patients with versus without diabetes."
30940181,Six hundred fifty-three individuals (13-26 years old) were screened; 95.6% were below 18 years old (624/653).
30940181,"Six 'definite RHD' were identified at screening, yielding a detection rate of 9.2‰ (95% CI 4.1-20.3‰), while 285 (436.4‰) were defined as 'borderline' (95% CI 398.8-474.9‰)."
30940181,"Out of 172 ""non-negative borderline"" cases available for being retested (113 ""non-negative borderline"" lost in follow-up), additional 11 were categorized as 'definite RHD', for a total of 17 'definite RHD', yielding a final prevalence of 26.0‰ (95% CI 16.2-41.5‰) (17/653), and 122 (122/653) were confirmed as 'borderline' (final prevalence of 186.8‰, 95% CI 158.7-218.7)."
30940181,"In multivariate logistic regression analysis the presence of systolic murmur was a strong predictor for both 'borderline' (OR 4.3 [2.8-6.5]) and 'definite RHD' (OR 5.2 [1.7-15.2]), while no specific country/geographic area of origin was statistically associated with an increased risk of latent, asymptomatic RHD."
30940127,"A total of 10,452 and 5168 children under 5 years of age were enrolled in the 2011 DHS and 2015 IMASIDA, respectively."
30940127,Care-seeking for fever in public and private sectors remained stable during this period (62.6%; 835/1432 in 2011 and 63.7%; 974/1529 in 2015).
30940127,The main place where care was sought in both surveys was public hospitals (86.2%; 773/897 in 2011 and 86.7%; 844/974 in 2015).
30940127,Prescription of anti-malarial drugs increased from 42.9% (385/897) in 2011 to 53.8% (524/974) in 2015.
30940127,Artemether-lumefantrine was the most used anti-malarial drug for febrile children in both surveys and its use increased from 59.0% (219/373) in 2011 to 89.3% (457/512) in 2015.
30940127,Data from 2015 elucidated that care-seeking was more common in children whose mothers had a secondary level of education (AOR = 2.27 [95% CI 1.15-4.49]) and among those in poorer quintile (AOR = 1.46 [95% CI 0.83-1.90]).
30940127,Mothers with higher education level (AOR = 0.16 [95% CI 0.34-0.78]) were less likely to seek out care.
30940127,"People from Manica (AOR = 2.49 [1.03-6.01]), Sofala ([AOR = 2.91 [1.03-8.24]), Inhambane (AOR = 3.95 [1.25-12.45]), Gaza (AOR = 3.25 [1.22-8.65]) and Maputo Province (AOR = 2.65 [1.10-6.41]) were more likely to seek care than people from Maputo City."
30940119,"According to physician's judgment, 51% of patients were considered to have APD."
30940119,There was a moderate correlation between physician's judgment and Delphi criteria for APD (K = 0.430; 95% CI 0.406-0.473).
30940119,"Activities of daily living, motor symptom severity, dyskinesia duration/disability, ""Off"" time duration, non-motor symptoms, and quality-of-life scores were worse among APD vs. non-APD patients (p < 0.0001 for all)."
30940119,APD patients (assessed by physicians) had higher disease burden by motor and non-motor symptoms compared with non-APD patients and a negative impact on activities of daily living and quality of life.
30933962,No difference in symptoms was found between children with SLE and healthy children (CDEA score 6.4 ± 5.4 vs. 3.8 ± 3.2; P = 0.09).
30933962,"Corneal staining was more prevalent in children with SLE than in healthy children (58.8% vs. 20.0%; P = 0.01), and children with SLE had higher mean corneal fluorescein staining scores (1.7 ± 1.7 vs. 0.2 ± 0.4; P = 0.002)."
30933962,"No statistically significant differences in tear osmolarity, inter-eye differences in tear osmolarity, tear film break-up time, Schirmer test 1, or lissamine green staining scores were observed between the 2 groups."
30933962,"In healthy children, CDEA scores weakly correlated with corneal fluorescein staining score (r = 0.53, P = 0.04)."
30933962,"In children with SLE, no correlation between CDEA score and any of the diagnostic test outcomes was found."
30929652,Mean patient age was 60.2 ± 21.0 years.
30929652,"Aspiration was identified in 10 patients when assessed by fibre-optic endoscopic evaluation of swallowing; of these, 1 had aspiration when evaluated by modified Evans blue dye test."
30929652,The dye test had a sensitivity of 10.0 per cent and specificity of 100.0 per cent for detecting aspiration.
30929652,"Fibre-optic endoscopic evaluation of swallowing revealed no statistically significant associations between aspiration presence and: speech and language therapy duration, intubation time, or tracheostomy plus mechanical ventilation duration."
30929494,"Following exclusions and losses to follow-up, 334 medial robotic-arm assisted UKAs were assessed at a mean follow-up of 30.0 months (8.0 to 54.9)."
30929494,None of the measured parameters were associated with overall KOOS outcome.
30929494,"Correlations were described between specific KOOS subscales and intraoperative, post-implantation robotic data, and between FJS-12 and femoral component sagittal alignment."
30929494,"Three UKAs were revised, resulting in 99.0% survival at two years (95% confidence interval (CI) 97.9 to 100.0)."
30929479,"Of 34 639 operations, 2.7% (95% confidence interval (CI) 2.6 to 2.9) had a surgical complication, 2.1% (95% CI 2.0 to 2.3) had repeat surgery within 90 days, 2.4% (95% CI 2.2 to 2.5) had a non-surgical readmission within 90 days, and 6.7% (95% CI 6.4 to 6.9) experienced at least one of these unfavourable events."
30929479,Unfavourable events were found to be associated with advanced age and comorbidity.
30922350,There were 1629 treatment-naïve patients for the pro re nata (PRN) treatment pattern and 226 treatment-naive patients for the three-injections (3Inj) treatment pattern.
